Country,kisi sayisi
TOGO,316
VANUATU,302
MICRONESIA,295
SINT MAARTEN,293
GUINEA,289
ST. MARTIN,276
GAMBIA,276
PALAU,272
LIBERIA,269
ST. LUCIA,258
FALKLAND ISLANDS,257
WESTERN SAHARA,251
SEYCHELLES,212
SOUTH GEORGIA & SOUTH SANDWICH ISLANDS,189
MONTSERRAT,187
SIERRA LEONE,186
TIMOR-LESTE,182
ÅLAND ISLANDS,166
ST. VINCENT & GRENADINES,162
TONGA,156
LESOTHO,153
ST. KITTS & NEVIS,153
SÃO TOMÉ & PRÍNCIPE,149
GUINEA-BISSAU,139
ST. PIERRE & MIQUELON,136
NORFOLK ISLAND,135
KIRIBATI,132
TUVALU,131
SOLOMON ISLANDS,124
ST. HELENA,122
SVALBARD & JAN MAYEN,112
NAURU,111
NIUE,110
TOKELAU,106
ST. BARTHÉLEMY,104
TRISTAN DA CUNHA,84
PSEUDO-BIDI,
